survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,deck,embark_town,alive,alone
0,2,male,52.0,0,0,13.0,S,Second,man,True,,Southampton,no,True
0,3,male,,0,0,7.25,S,Third,man,True,,Southampton,no,True
0,3,male,,0,0,7.8958,S,Third,man,True,,Southampton,no,True
0,3,female,18.0,0,0,7.775,S,Third,woman,False,,Southampton,no,True
1,3,female,16.0,0,0,7.75,Q,Third,woman,False,,Queenstown,yes,True
0,2,male,19.0,1,1,36.75,S,Second,man,True,,Southampton,no,False
0,3,male,28.0,0,0,56.4958,S,Third,man,True,,Southampton,no,True
1,1,female,53.0,2,0,51.4792,S,First,woman,False,C,Southampton,yes,False
1,3,female,4.0,0,1,13.4167,C,Third,child,False,,Cherbourg,yes,False
1,3,male,32.0,0,0,7.925,S,Third,man,True,,Southampton,yes,True
0,2,male,23.0,0,0,13.0,S,Second,man,True,,Southampton,no,True
0,3,male,,0,0,7.8958,S,Third,man,True,,Southampton,no,True
0,1,female,25.0,1,2,151.55,S,First,woman,False,C,Southampton,no,False
1,3,male,20.0,0,0,7.2292,C,Third,man,True,,Cherbourg,yes,True
0,3,male,19.0,0,0,7.65,S,Third,man,True,F,Southampton,no,True
0,3,male,39.0,0,0,24.15,S,Third,man,True,,Southampton,no,True
1,3,male,32.0,0,0,56.4958,S,Third,man,True,,Southampton,yes,True
0,2,male,39.0,0,0,13.0,S,Second,man,True,,Southampton,no,True
1,1,female,31.0,0,2,164.8667,S,First,woman,False,C,Southampton,yes,False
1,3,male,20.0,1,0,7.925,S,Third,man,True,,Southampton,yes,False
0,3,male,,0,0,8.05,S,Third,man,True,,Southampton,no,True
0,3,male,51.0,0,0,7.0542,S,Third,man,True,,Southampton,no,True
1,3,female,18.0,0,0,9.8417,S,Third,woman,False,,Southampton,yes,True
1,1,male,49.0,1,0,89.1042,C,First,man,True,C,Cherbourg,yes,False
1,1,female,24.0,3,2,263.0,S,First,woman,False,C,Southampton,yes,False
1,1,female,30.0,0,0,93.5,S,First,woman,False,B,Southampton,yes,True
0,3,female,,8,2,69.55,S,Third,woman,False,,Southampton,no,False
0,1,male,,0,0,0.0,S,First,man,True,B,Southampton,no,True
0,2,male,21.0,1,0,11.5,S,Second,man,True,,Southampton,no,False
1,3,female,,1,0,16.1,S,Third,woman,False,,Southampton,yes,False
1,1,male,35.0,0,0,512.3292,C,First,man,True,B,Cherbourg,yes,True
0,3,male,38.0,0,0,8.6625,S,Third,man,True,,Southampton,no,True
0,3,female,28.0,0,0,7.8958,S,Third,woman,False,,Southampton,no,True
1,3,male,,0,0,7.2292,C,Third,man,True,,Cherbourg,yes,True
1,1,female,39.0,1,1,110.8833,C,First,woman,False,C,Cherbourg,yes,False
1,2,female,25.0,0,1,26.0,S,Second,woman,False,,Southampton,yes,False
1,2,female,50.0,0,0,10.5,S,Second,woman,False,,Southampton,yes,True
0,1,male,38.0,0,0,0.0,S,First,man,True,,Southampton,no,True
0,1,male,65.0,0,1,61.9792,C,First,man,True,B,Cherbourg,no,False
